lat,lon
45.4866507,9.1984296
45.6281256,9.0299973
45.6039645,9.2603761
45.4844969,9.242305
45.4831972,9.2360635
45.4820211,9.2290715
45.4805408,9.2164729
45.4204092,9.2764276
45.5217316,9.2160449
45.6009472,9.3611845
45.4905598,9.1470974
45.4198889,9.2606834
45.4118392,9.2684967
45.4179512,9.260428
45.4823378,9.2396263
45.5416775,9.219565
45.4227684,9.282054
45.481866,9.2325362
45.4842461,9.2255638
45.4975528,9.2203359
45.4763893,9.1710747
45.5014222,9.2096672
45.4813082,9.2423876
45.4814229,9.2427832
45.48355,9.2426115
45.5487764,9.0783674
45.5507285,9.0781047
45.484008,9.2405689
45.4785766,9.2470487
45.4574305,9.1892911
45.4784853,9.2000762
45.4827406,9.2352694
45.4810625,9.2344475
45.4822338,9.240079
45.4713572,9.2501987
45.4839435,9.2423852
45.4823769,9.2399492
45.4570039,9.1738715
45.4574197,9.1729013
45.4123512,9.2514157
45.5343011,9.4694782
45.4651397,9.2070545
45.4842205,9.1983528
45.4389616,9.2245824
45.4329035,9.1083363
45.3924311,9.2872444
